Species name adjusted,Species name,Group,Broad level threat,Scope,Severity,Timing score,"Sum of timing, scope, severity",Impact score,inv_sp_name
Diomedea antipodensis gibsoni,Diomedea antipodensis gibsoni,Birds,Invasive species and diseases,0,0,3,3,Low,Feral Pig
Diplazium cordifolium,Diplazium cordifolium,Plants,Invasive species and diseases,0,0,3,3,Low,Feral Pig
Diplazium pallidum,Diplazium pallidum,Plants,Invasive species and diseases,0,0,3,3,Low,Feral Pig
Kennedia glabrata,Kennedia glabrata,Plants,Invasive species and diseases,0,0,3,3,Low,Feral Pig
Liopholis guthega,Liopholis guthega,Reptiles,Invasive species and diseases,0,0,3,3,Low,Red Fox
Liopholis guthega,Liopholis guthega,Reptiles,Invasive species and diseases,0,0,3,3,Low,Feral Pig
Lucasium occultum,Lucasium occultum,Reptiles,Invasive species and diseases,0,0,3,3,Low,Red Fox
Microtis globula,Microtis globula,Plants,Invasive species and diseases,0,0,3,3,Low,Feral Pig
Omphalea celata,Omphalea celata,Plants,Invasive species and diseases,0,0,3,3,Low,Lantana
Ophidiocephalus taeniatus,Ophidiocephalus taeniatus,Reptiles,Invasive species and diseases,0,0,3,3,Low,European Rabbit
Pimelea curviflora var. curviflora,Pimelea curviflora var. curviflora,Plants,Invasive species and diseases,0,0,3,3,Low,Feral Pig
Scaturiginichthys vermeilipinnis,Scaturiginichthys vermeilipinnis,Fish,Invasive species and diseases,0,0,3,3,Low,Feral Pig
Scaturiginichthys vermeilipinnis,Scaturiginichthys vermeilipinnis,Fish,Invasive species and diseases,0,0,3,3,Low,Cane Toad
Tympanocryptis condaminensis,Tympanocryptis condaminensis,Reptiles,Invasive species and diseases,0,0,3,3,Low,Red Fox
Tympanocryptis pinguicolla,Tympanocryptis pinguicolla,Reptiles,Invasive species and diseases,0,0,3,3,Low,Red Fox
Tympanocryptis pinguicolla,Tympanocryptis pinguicolla,Reptiles,Invasive species and diseases,0,0,3,3,Low,European Rabbit
Macrozamia macdonnellii,Macrozamia macdonnellii,Plants,Invasive species and diseases,0,1,1,2,Negligible,Buffel Grass
Pterodroma leucoptera leucoptera,Pterodroma leucoptera leucoptera,Birds,Invasive species and diseases,0,0,1,1,Negligible,European Rabbit
Pterodroma mollis,Pterodroma mollis,Birds,Invasive species and diseases,0,0,1,1,Negligible,European Rabbit
Thalassarche melanophris,Thalassarche melanophrys,Birds,Invasive species and diseases,0,0,1,1,Negligible,European Rabbit
Chalinolobus dwyeri,Chalinolobus dwyeri,Mammals,Invasive species and diseases,0,0,0,0,Insufficient data,Red Fox
Egernia rugosa,Egernia rugosa,Reptiles,Invasive species and diseases,0,0,0,0,Insufficient data,Red Fox
Isoodon auratus barrowensis,Isoodon auratus barrowensis,Mammals,Invasive species and diseases,0,0,0,0,Insufficient data,Red Fox
Lagostrophus fasciatus fasciatus,Lagostrophus fasciatus fasciatus,Mammals,Invasive species and diseases,0,0,0,0,Insufficient data,European Rabbit
Liasis olivaceus barroni,Liasis olivaceus barroni,Reptiles,Invasive species and diseases,0,0,0,0,Insufficient data,Red Fox
Notechis scutatus ater,Notechis scutatus ater,Reptiles,Invasive species and diseases,0,0,0,0,Insufficient data,Cane Toad
Perameles gunnii victorian subspecies,Perameles gunnii victorian subspecies,Mammals,Invasive species and diseases,0,0,0,0,Insufficient data,Red Fox
Pterodroma arminjoniana,Pterodroma arminjoniana,Birds,Invasive species and diseases,0,0,0,0,Insufficient data,Feral Pig
Wollumbinia belli,Wollumbinia belli,Reptiles,Invasive species and diseases,0,0,0,0,Insufficient data,Red Fox
