species_name,common_name,higher_risk_species,thematic_group,overall_risk,entry_likelihood,establishment_likelihood,spread_likelihood,environmental_impact,social_amenity_impact
Acridotheres tristis,Common Myna,Yes,Vertebrate pests,High,Very High,High,High,Major,Moderate
Oryctolagus cuniculus,European Rabbit,Yes,Vertebrate pests,High,Very High,High,High,Massive,Major
Vulpes vulpes,Red Fox,Yes,Vertebrate pests,High,Very High,High,High,Massive,Major
Rhinella marina,Cane Toad,Yes,Vertebrate pests,High,Very High,High,High,Major,Moderate
Sus scrofa,Feral Pig,Yes,Vertebrate pests,High,Very High,High,High,Massive,Major
Channa spp. (including Channa striata),Snakeheads,No,Vertebrate pests,Medium,Moderate,Moderate,Moderate,Major,Moderate
Rattus exulans,Pacific rat,No,Vertebrate pests,Medium,High,High,Moderate,Major,Moderate
Python bivittatus,Burmese python ,No,Vertebrate pests,Medium,Moderate,Moderate,Moderate,Major,Minor
Ctenopharyngodon idella,Chinese carp,No,Vertebrate pests,Medium,Low,High,High,Major,Major
Clarias batrachus ,Walking catfish,No,Vertebrate pests,Medium,Moderate,Moderate,Moderate,Moderate,Moderate
Oreochromis niloticus,Nile tilapia ,No,Vertebrate pests,Medium,Low,Moderate,Moderate,Moderate,Moderate
Calotes versicolor ,Oriental garden lizard ,No,Vertebrate pests,Medium,Moderate,Moderate,Low,Moderate,Minimal Concern
Hemidactylus platyurus,Flat tailed house gecko,No,Vertebrate pests,Medium,High,Moderate,Low,Minor,Minor
Kaloula pulchra,Asian painted frog,No,Vertebrate pests,Medium,High,Moderate,Moderate,Minor,Minimal Concern
Iguana iguana,Green iguana,No,Vertebrate pests,Low,High,Moderate,Low,Moderate,Moderate
Corvus splendens,House crow,No,Vertebrate pests,Low,Very High,Low,Low,Minor,Moderate
Chamaeleo calyptratus,Veiled chameleon,No,Vertebrate pests,Low,Moderate,Low,Low,Minor,Moderate
Sciurus carolinensis,Gray squirrel,No,Vertebrate pests,Low,Very Low,Low,Very low,Minor,Minor
Atelerix albiventris,African pygmy hedgehog,No,Vertebrate pests,Low,Low,Very Low,Very Low,Minor,Minor
Chelydra serpentina,Common snapping turtle,No,Vertebrate pests,Low,Low,Low,Very Low,Minor,Minor
Cynops orientalis,Fire bellied newt,No,Vertebrate pests,Low,Low,Very Low,Very Low,Minor,Minimal Concern
Mustela erminea,Stoat,No,Vertebrate pests,Low,Very Low,Very Low,Very low,Major,Minor
Didymosphenia geminata,Didymo,Yes,Weeds and freshwater algae,High,Moderate,Moderate,Moderate,Major,Major
Pilosella officinarum,Mouse ear hawkweed,Yes,Weeds and freshwater algae,High,High,Moderate,Moderate,Major,Moderate
Mikania micrantha,Mikania,Yes,Weeds and freshwater algae,High,Moderate,High,Moderate,Moderate,Moderate
Lantana camara,Lantana,Yes,Weeds and freshwater algae,High,Very High,High,High,Major,Moderate
Chrysanthemoides monilifera ssp. rotundata,Bitou Bush,Yes,Weeds and freshwater algae,High,Very High,High,High,Major,Moderate
Ulex europaeus,Gorse,Yes,Weeds and freshwater algae,High,Very High,High,High,Major,Moderate
Cenchrus ciliaris,Buffel Grass,Yes,Weeds and freshwater algae,High,Very High,High,High,Massive,Major
Andropogon gayanus,Gamba Grass,Yes,Weeds and freshwater algae,High,Very High,High,High,Massive,Major
Zizania latifolia,Manchurian wildrice,Yes,Weeds and freshwater algae,High,Moderate,Moderate,Low,Major,Moderate
Piper aduncum ,Spiked pepper,Yes,Weeds and freshwater algae,High,Moderate,Moderate,Low,Moderate,Minor
Lagarosiphon major,Lagarosiphon ,No,Weeds and freshwater algae,High,Low,Moderate,Low,Moderate,Moderate
Ludwigia grandiflora ,Water Primrose,No,Weeds and freshwater algae,Medium,Very Low,High,Low,Major,Moderate
Microstegium vimineum,Nepalese browntop,No,Weeds and freshwater algae,Medium,Low,Moderate,Low,Moderate,Minor
Cordia curassavica,Black Sage,No,Weeds and freshwater algae,Medium,Low,Moderate,Low,Moderate,Minor
Tibouchina herbacea,Cane tibouchina,No,Weeds and freshwater algae,Medium,Low,Moderate,Low,Major,Minor
Seriphium plumosum ,Slangbos,No,Weeds and freshwater algae,Medium,Low,Moderate,Low,Moderate,Minor
Najas minor,Brittle naiad,No,Weeds and freshwater algae,Medium,Low,Moderate,Low,Moderate,Minor
Vachellia karroo,Karroo thorn,No,Weeds and freshwater algae,Medium,Low,High,Low,Moderate,Minor
Euphorbia esula,Leafy spurge,No,Weeds and freshwater algae,Low,Very Low,Moderate,Moderate,Moderate,Minor
Senecio inaequidens,South African ragwort,No,Weeds and freshwater algae,Low,Low,Moderate,Low,Minor,Moderate
Carex kobomugi,Asiatic sand sedge,No,Weeds and freshwater algae,Low,Very Low,Moderate,Very low,Major,Moderate
Halogeton glomeratus,Halogeton,No,Weeds and freshwater algae,Low,Very Low,Moderate,Low,Moderate,Minor
Ventenata dubia,Wiregrass,No,Weeds and freshwater algae,Low,Low,Moderate,Very Low,Moderate,Moderate
Cytisus striatus ,Portuguese broom,No,Weeds and freshwater algae,Low,Very Low,Moderate,Negligible,Moderate,Minor
Vincetoxicum nigrum,Black swallow-wort,No,Weeds and freshwater algae,Low,Very Low,Low,Low,Moderate,Minor
